loc_index,lon,lat,mask,FIPS,distance_miles
7,-100.588,33.632,1.0,48125,19.04329146272228
8,-100.854,33.732,1.0,48125,18.036472390659327
9,-100.593,33.741,1.0,48125,24.02921404202301
0,-100.838,33.407,0.6996324,48125,4.4794495770887535
2,-100.974,33.511,0.49305552,48125,7.39009585640718
1,-99.989,28.241,1.0,48127,21.209907228753544
3,-99.745,28.248,1.0,48127,20.407376897634848
4,-99.623,28.251,1.0,48127,23.808389868013837
5,-99.501,28.254,1.0,48127,28.769579834622434
6,-99.993,28.349,1.0,48127,14.709832546735742
7,-99.871,28.352,1.0,48127,12.053141610440846
8,-99.749,28.355,1.0,48127,13.58515867137945
11,-99.997,28.456,1.0,48127,9.71070733895582
0,-101.041,34.814,1.0,48129,11.96942313921982
1,-100.908,34.818,1.0,48129,8.22719266899716
4,-101.047,34.922,1.0,48129,8.868398237233098
6,-100.781,34.931,1.0,48129,6.301893323250914
8,-101.052,35.031,1.0,48129,11.178378341263805
9,-100.787,35.04,1.0,48129,9.282018441987923
10,-100.654,35.044,1.0,48129,15.388559551897517
11,-101.058,35.139,1.0,48129,16.83658129524824
0,-98.508,27.307,1.0,48131,35.349685421743516
1,-98.387,27.308,1.0,48131,32.482505892875075
3,-98.631,27.412,1.0,48131,33.9973198364058
4,-98.389,27.415,1.0,48131,25.53547840422088
5,-98.754,27.517,1.0,48131,35.773794106373145
6,-98.633,27.519,1.0,48131,29.35065084498737
7,-98.512,27.521,1.0,48131,23.522666524354268
8,-98.391,27.523,1.0,48131,18.850041145067735
1,-98.987,32.261,1.0,48133,8.538960464141194
2,-98.859,32.263,1.0,48133,10.998675785417996
4,-98.861,32.372,1.0,48133,7.042955658144447
6,-98.993,32.478,1.0,48133,6.463504126430747
7,-98.864,32.48,1.0,48133,9.454191340761291
8,-98.607,32.484,1.0,48133,22.87147676535163
5,-98.476,32.377,0.5950467,48133,29.503632465916013
0,-98.984,32.153,0.55747926,48133,15.973446924640117
0,-102.795,31.693,0.045233846,48135,29.464331748587515
1,-102.668,31.7,0.82991594,48135,22.70979043992355
2,-102.414,31.712,0.30722207,48135,12.277018304658824
3,-102.287,31.719,0.0007335805,48135,11.609123942672143
